disease_name,search_name,description,symptoms,symptoms_count,image_url,local_image_path
leprosy,Leprosy,"Leprosy, also known as Hansen's disease (HD), is a long-term infection by the bacteria Mycobacterium leprae or Mycobacterium lepromatosis. Infection can lead to damage of the nerves, respiratory tract, skin, and eyes. This nerve damage may result in the loss of nociception, which can lead to the loss of parts of a person's extremities from repeated injuries or infection through unnoticed wounds. An infected person may also experience muscle weakness and loss of eyesight. Leprosy symptoms may beg",skin lesions | neuropathy | muscle weakness | partial paralysis | blindness | decreased ability to feel pain | [ | 3 | ],9,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tropmed-91-216-g001.jpg/330px-Tropmed-91-216-g001.jpg,data/images\Leprosy.jpg
diphtheria,Diphtheria,"Diphtheria is an infection caused by the bacterium Corynebacterium diphtheriae. Most infections are asymptomatic or have a mild clinical course, but in some outbreaks, the mortality rate approaches 10%. Signs and symptoms may vary from mild to severe, and usually start two to five days after exposure. Symptoms often develop gradually, beginning with a sore throat and fever. In severe cases, a grey or white patch develops in the throat called a pseudomembrane. This tough, leathery membrane slowly",sore throat | fever | barking cough | [ | 1 | ],6,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Dirty_white_pseudomembrane_classically_seen_in_diphtheria_2013-07-06_11-07.jpg/330px-Dirty_white_pseudomembrane_classically_seen_in_diphtheria_2013-07-06_11-07.jpg,data/images\Diphtheria.jpg
whooping cough,Pertussis,"Whooping cough, also known as pertussis or the 100-day cough, is a highly contagious, vaccine-preventable bacterial disease. Initial symptoms are usually similar to those of the common cold with a runny nose, fever, and mild cough, but these are followed by two or three months of severe coughing fits. Following a fit of coughing, a high-pitched whoop sound or gasp may occur as the person breathes in. The violent coughing may last for 10 or more weeks, hence the phrase ""100-day cough"". The cough ",runny nose | fever | cough | [ | 1 | ],6,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Pertussis.jpg/330px-Pertussis.jpg,data/images\Whooping_cough.jpg
tetanus,Tetanus,"Tetanus, also known as lockjaw, is a bacterial infection caused by Clostridium tetani and characterized by muscle spasms. In the most common type, the spasms begin in the jaw and then progress to the rest of the body. Each spasm usually lasts for a few minutes. Spasms occur frequently for three to four weeks. Some spasms may be severe enough to fracture bones. Other symptoms of tetanus may include fever, sweating, headache, trouble swallowing, high blood pressure, and a fast heart rate. The onse",fever | cramped-up jaw | muscle spasms | headache | seizures | sweating | and trouble swallowing,7,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Opisthotonus_in_a_patient_suffering_from_tetanus_-_Painting_by_Sir_Charles_Bell_-_1809.jpg/330px-Opisthotonus_in_a_patient_suffering_from_tetanus_-_Painting_by_Sir_Charles_Bell_-_1809.jpg,data/images\Tetanus.jpg
brucellosis,Brucellosis,"Brucellosis is a zoonosis spread primarily via ingestion of unpasteurized milk from infected animals. It is also known as undulant fever, Malta fever, and Mediterranean fever.",fever | chills | loss of appetite | sweats | weakness | fatigue | joint pain | muscle pain | back pain | headache. | [ | 2 | ],13,,
listeriosis,Listeriosis,"Listeriosis is a bacterial infection most commonly caused by Listeria monocytogenes, although L. ivanovii and L. grayi have been reported in certain cases. Listeriosis can cause severe illness, including severe sepsis, meningitis, or encephalitis, sometimes resulting in lifelong harm and even death. Those at risk of severe illness are the elderly, fetuses, newborns, and those who are immunocompromised. In pregnant women, it may cause stillbirth or spontaneous abortion, and preterm birth is commo",diarrhea | fever | headache,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Listeria_monocytogenes_PHIL_2287_lores.jpg/330px-Listeria_monocytogenes_PHIL_2287_lores.jpg,data/images\Listeriosis.jpg
leptospirosis,Leptospirosis,"Leptospirosis is a blood infection caused by bacteria of the genus Leptospira that can infect humans, dogs, rodents, and many other wild and domesticated animals. Signs and symptoms can range from none to mild to severe. Weil's disease, the acute, severe form of leptospirosis, causes the infected individual to become jaundiced, develop kidney failure, and bleed. Bleeding from the lungs associated with leptospirosis is known as severe pulmonary haemorrhage syndrome.",none | headaches | muscle pains | fevers | [ | 5 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Leptospirosis_darkfield.jpg/330px-Leptospirosis_darkfield.jpg,data/images\Leptospirosis.jpg
melioidosis,Melioidosis,"Melioidosis is an infectious disease caused by a gram-negative bacterium called Burkholderia pseudomallei. Most people exposed to B. pseudomallei experience no symptoms, but complications can range from fever and skin changes to pneumonia, abscesses, and septic shock, which can be fatal. Approximately 10% of people with melioidosis develop symptoms that last longer than two months, termed ""chronic melioidosis"".",none | fever | pneumonia | multiple | abscesses | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/One_of_the_melioidosis_abscesses_on_the_abdomen.jpg/330px-One_of_the_melioidosis_abscesses_on_the_abdomen.jpg,data/images\Melioidosis.jpg
tularemia,Tularemia,"Tularemia, also known as rabbit fever, is an infectious disease caused by the bacterium Francisella tularensis. Symptoms may include fever, skin ulcers, and enlarged lymph nodes. Occasionally, a form that results in pneumonia or a throat and nasal sinus infection may occur.",fever | skin ulcer | large lymph nodes | [ | 3 | ],6,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Tularemia_lesion.jpg/330px-Tularemia_lesion.jpg,data/images\Tularemia.jpg
anthrax,Anthrax,"Anthrax is an infection caused by the bacterium Bacillus anthracis or Bacillus cereus biovar anthracis. Infection typically occurs by contact with the skin, inhalation, or intestinal absorption. Symptom onset occurs between one day and two months after the infection is contracted. The skin form presents with a small blister with surrounding swelling that often turns into a painless ulcer with a black center. The inhalation form presents with fever, chest pain, and shortness of breath. The intest",skin form | : small blister with surrounding swelling | inhalational form | : fever | chest pain | shortness of breath | intestinal form | : nausea | vomiting | diarrhea | abdominal pain | injection form | : fever | abscess | [ | 1 | ],17,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Anthrax_PHIL_2033.png/330px-Anthrax_PHIL_2033.png,data/images\Anthrax.jpg
botulism,Botulism,"Botulism is a rare and potentially fatal illness caused by botulinum toxin, which is produced by the bacterium Clostridium botulinum. The disease begins with weakness, blurred vision, feeling tired, and trouble speaking. This may then be followed by weakness of the arms, chest muscles, and legs. Vomiting, swelling of the abdomen, and diarrhea may also occur. The disease does not usually affect consciousness or cause a fever.",weakness | trouble seeing | feeling tired | trouble speaking,4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Botulism1and2.JPG/330px-Botulism1and2.JPG,data/images\Botulism.jpg
salmonellosis,Salmonellosis,"Salmonellosis is a symptomatic infection caused by bacteria of the Salmonella type. It is the most common disease to be known as food poisoning. These are defined as diseases, usually either infectious or toxic in nature, caused
by agents that enter the body through the ingestion of food. In humans, the most common symptoms are diarrhea, fever, abdominal cramps, and vomiting. Symptoms typically occur between 12 hours and 36 hours after exposure, and last from two to seven days. Occasionally more",diarrhea | fever | abdominal cramps | vomiting | [ | 1 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/SalmonellaNIAID.jpg/330px-SalmonellaNIAID.jpg,data/images\Salmonellosis.jpg
shigellosis,Shigellosis,"Shigellosis, known historically as dysentery, is an infection of the intestines caused by Shigella bacteria. Symptoms generally start one to two days after exposure and include diarrhea, fever, abdominal pain, and feeling the need to pass stools even when the bowels are empty. The diarrhea may be bloody. Symptoms typically last five to seven days and it may take several months before bowel habits return entirely to normal. Complications can include reactive arthritis, sepsis, seizures, and hemol",diarrhea | fever | abdominal pain | [ | 1 | ],6,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Shigella_stool.jpg/330px-Shigella_stool.jpg,data/images\Shigellosis.jpg
campylobacteriosis,Campylobacteriosis,"Campylobacteriosis is among the most common infections caused by a bacterium in humans, often as a foodborne illness. It is caused by the Campylobacter bacterium, most commonly C. jejuni. It produces an inflammatory, sometimes bloody, diarrhea or dysentery syndrome, and usually cramps, fever and pain.",diarrhea | abdominal pain | fever,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Campylobacteriosis.png/330px-Campylobacteriosis.png,data/images\Campylobacteriosis.jpg
legionnaires' disease,Legionellosis,"Legionnaires' disease is a form of atypical pneumonia caused by any species of Legionella bacteria, quite often Legionella pneumophila. Signs and symptoms include cough, shortness of breath, high fever, muscle pains, and headaches. Nausea, vomiting, and diarrhea may also occur. This often begins 2–10 days after exposure.",cough | shortness of breath | fever | muscle pains | headaches | [ | 2 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/PMC5258191_cureus-0008-00000000937-i01.png/330px-PMC5258191_cureus-0008-00000000937-i01.png,data/images\Legionnaires'_disease.jpg
lyme disease,Lyme disease,"Lyme disease, also known as Lyme borreliosis, is a tick-borne disease caused by species of Borrelia bacteria, transmitted by blood-feeding ticks in the genus Ixodes. It is the most common disease spread by ticks in the Northern Hemisphere. Infections are most common in the spring and early summer. Infection is treatable with antibiotics. Most treated patients experience a full recovery. For some patients recovery may not be immediate or complete, resulting in long-term effects. Early detection a",tick | bite | fever | headache | tiredness | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Adult_deer_tick.jpg/330px-Adult_deer_tick.jpg,data/images\Lyme_disease.jpg
rocky mountain spotted fever,Rocky Mountain spotted fever,"Rocky Mountain spotted fever (RMSF) is a bacterial disease spread by ticks. It typically begins with a fever and headache, which is followed a few days later with the development of a rash. The rash is generally made up of small spots of bleeding and starts on the wrists and ankles. Other symptoms may include muscle pains and vomiting. Long-term complications following recovery may include hearing loss or loss of part of an arm or leg.",early | : | fever | headache | [ | 3 | ] | later | : | rash | [ | 3 | ],13,https://upload.wikimedia.org/wikipedia/commons/a/a1/Rocky_mountain_spotted_fever.jpg,data/images\Rocky_Mountain_spotted_fever.jpg
q fever,Q fever,"Q fever or query fever is a disease caused by infection with Coxiella burnetii, a bacterium that affects humans and other animals. This organism is uncommon, but may be found in cattle, sheep, goats, and other domestic mammals, including cats and dogs. The infection results from inhalation of a spore-like small-cell variant, and from contact with the milk, urine, feces, vaginal mucus, or semen of infected animals. Rarely, the disease is tick-borne. The incubation period can range from 9 to 40 da",fever,1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Immunohistochemical_detection_of_Coxiella_burnetii_in_resected_cardiac_valve_of_a_60-year-old_man_with_Q_fever_endocarditis.jpg/330px-Immunohistochemical_detection_of_Coxiella_burnetii_in_resected_cardiac_valve_of_a_60-year-old_man_with_Q_fever_endocarditis.jpg,data/images\Q_fever.jpg
ehrlichiosis,Ehrlichiosis,"Ehrlichiosis is a tick-borne
bacterial infection, caused by bacteria of the family Anaplasmataceae, genera Ehrlichia and Anaplasma. These obligate intracellular bacteria infect and kill white blood cells.",fever | chills | severe headaches | muscle aches | nausea | vomiting | diarrhea | loss of appetite | confusion | splotchy or pinpoint rash | [ | 2 | ],13,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Amblyomma_americanum_tick.jpg/330px-Amblyomma_americanum_tick.jpg,data/images\Ehrlichiosis.jpg
anaplasmosis,Anaplasmosis,"Anaplasmosis is a tick-borne disease affecting ruminants, dogs, and horses, and is caused by Anaplasma bacteria. Anaplasmosis is an infectious but not contagious disease transmitted through mechanical and biological vector processes. Also referred to as ""yellow bag"" or ""yellow fever"" because the infected animal can develop a jaundiced look, other signs of infection include weight loss, diarrhea, paleness of the skin, aggressive behavior, and high fever.",fever | diarrhea | weight loss | jaundice,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Anaplasma-centrale.jpg/330px-Anaplasma-centrale.jpg,data/images\Anaplasmosis.jpg
bartonellosis,Bartonellosis,"Bartonellosis is an infectious disease caused by bacteria of the genus Bartonella. Bartonella species cause diseases such as Carrión's disease, trench fever, cat-scratch disease, bacillary angiomatosis, peliosis hepatis, chronic bacteremia, endocarditis, chronic lymphadenopathy, and neurological disorders.",fever,1,,
yersiniosis,Yersiniosis,"Yersiniosis is an infectious disease of the gastrointestinal tract caused by bacteria of the genus Yersinia other than Y. pestis. Most cases of yersiniosis in humans are caused by Y. enterocolitica, with a small minority being caused by Y. pseudotuberculosis. Rarely, other species of the genus can cause yersiniosis.",fever | bloody diarrhea | abdominal pain | vomiting,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Yersinia_enterocolitica_01.png/330px-Yersinia_enterocolitica_01.png,data/images\Yersiniosis.jpg
necrotizing fasciitis,Necrotizing fasciitis,"Necrotizing fasciitis (NF), also known as flesh-eating disease, is an infection that kills the body's soft tissue. It is a serious disease that begins and spreads quickly. Symptoms include red or purple or black skin, swelling, severe pain, fever, and vomiting. The most commonly affected areas are the limbs and perineum.",severe pain | fever | purple colored skin in the affected area | [ | 3 | ],6,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Necrotizing_fasciitis_left_leg.JPEG/330px-Necrotizing_fasciitis_left_leg.JPEG,data/images\Necrotizing_fasciitis.jpg
streptococcal pharyngitis,Streptococcal pharyngitis,"Streptococcal pharyngitis, also known as streptococcal sore throat, is pharyngitis caused by Streptococcus pyogenes, a gram-positive, group A streptococcus. Common symptoms include fever, sore throat, red tonsils, and enlarged lymph nodes in the front of the neck. A headache and nausea or vomiting may also occur. Some develop a sandpaper-like rash which is known as scarlet fever. Symptoms typically begin one to three days after exposure and last seven to ten days.",fever | sore throat | enlarged lymph nodes | [ | 1 | ],6,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Pos_strep.JPG/330px-Pos_strep.JPG,data/images\Streptococcal_pharyngitis.jpg
scarlet fever,Scarlet fever,"Scarlet fever, also known as scarlatina and scarlatiniform rash, is an infectious disease caused by Streptococcus pyogenes, a Group A streptococcus (GAS). It most commonly affects children and young adolescents between five and 15 years of age. The signs and symptoms include a sore throat, fever, headache, swollen lymph nodes, and a characteristic rash. The face is flushed and the rash is red and blanching. It typically feels like sandpaper and the tongue may be red and bumpy. The rash occurs as",sore throat | fever | headaches | swollen | lymph nodes in the neck | characteristic rash | [ | 1 | ],9,https://upload.wikimedia.org/wikipedia/commons/4/4a/Skarlatina.jpg,data/images\Scarlet_fever.jpg
rheumatic fever,Rheumatic fever,"Rheumatic fever (RF) is an inflammatory disease that can involve the heart, joints, skin, and brain. The disease typically develops two to four weeks after a streptococcal throat infection. Signs and symptoms include fever, multiple painful joints, involuntary muscle movements, and occasionally a characteristic non-itchy rash known as erythema marginatum. The heart is involved in about half of the cases. Damage to the heart valves, known as rheumatic heart disease (RHD), usually occurs after rep",fever | multiple | painful joints | involuntary muscle movements | erythema marginatum | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Rheumatic_heart_disease%2C_gross_pathology_20G0013_lores.jpg/330px-Rheumatic_heart_disease%2C_gross_pathology_20G0013_lores.jpg,data/images\Rheumatic_fever.jpg
impetigo,Impetigo,"Impetigo is a contagious bacterial infection that involves the superficial skin. The most common presentation is yellowish crusts on the face, arms, or legs. Less commonly there may be large blisters which affect the groin or armpits. The lesions may be painful or itchy. Fever is uncommon.",yellowish skin crusts | painful | [ | 2 | ] | [ | 3 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Impetigo2020.jpg/330px-Impetigo2020.jpg,data/images\Impetigo.jpg
erysipelas,Erysipelas,"Erysipelas is a relatively common bacterial infection of the superficial layer of the skin, extending to the superficial lymphatic vessels within the skin, characterized by a raised, well-defined, tender, bright-red rash, typically on the face or legs, but which can occur anywhere on the skin. It is a form of cellulitis and is potentially serious.",rash,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Facial_erysipelas.jpg/330px-Facial_erysipelas.jpg,data/images\Erysipelas.jpg
cellulitis,Cellulitis,"Cellulitis is usually a bacterial infection involving the inner layers of the skin. It specifically affects the dermis and subcutaneous fat. Signs and symptoms include an area of redness that increases in size over a few days. The borders of the area of redness are generally not sharp, and the skin may be swollen. While the redness often turns white when pressure is applied, this is not always the case. The area of infection is usually painful. Lymphatic vessels may occasionally be involved, and",red | hot | painful area of skin | fever | [ | 1 | ] | [ | 2 | ],10,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Cellulitis3.jpg/330px-Cellulitis3.jpg,data/images\Cellulitis.jpg
osteomyelitis,Osteomyelitis,"Osteomyelitis (OM) is the infectious inflammation of bone. It may be acute or chronic and can be classified as hematogenous or non-hematogenous. It is commonly caused by bacterial infection, but rarely can be due to fungal infection.",pain in a specific bone | overlying redness | fever | weakness | [ | 1 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/OsteomylitisMark.png/330px-OsteomylitisMark.png,data/images\Osteomyelitis.jpg
septic arthritis,Septic arthritis,"Acute septic arthritis, infectious arthritis, suppurative arthritis, pyogenic arthritis, osteomyelitis, or joint infection is the invasion of a joint by an infectious agent resulting in joint inflammation. Generally speaking, symptoms typically include redness, heat and pain in a single joint associated with a decreased ability to move the joint. Onset is usually rapid. Other symptoms may include fever, weakness and headache. Occasionally, more than one joint may be involved, especially in neona",red | hot | painful single joint | [ | 2 | ],6,https://upload.wikimedia.org/wikipedia/commons/2/28/SepticArth2011_%28cropped%29.jpg,data/images\Septic_arthritis.jpg
myocarditis,Myocarditis,"Myocarditis is inflammation of the cardiac muscle. Myocarditis can progress to inflammatory cardiomyopathy when there is associated ventricular remodeling and cardiac dysfunction due to chronic inflammation. Symptoms can include shortness of breath, chest pain, decreased ability to exercise, and an irregular heartbeat. The duration of problems can vary from hours to months. Complications may include heart failure, due to dilated cardiomyopathy or cardiac arrest.",shortness of breath | chest pain | decreased ability to exercise | irregular heartbeat | [ | 1 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Viral_myocarditis_%281%29.JPG/330px-Viral_myocarditis_%281%29.JPG,data/images\Myocarditis.jpg
pericarditis,Pericarditis,"Pericarditis is inflammation of the pericardium, the fibrous sac surrounding the heart. Symptoms typically include sudden onset of sharp chest pain, which may also be felt in the shoulders, neck, or back. The pain is typically less severe when sitting up and more severe when lying down or breathing deeply. Other symptoms of pericarditis can include fever, weakness, palpitations, and shortness of breath. The onset of symptoms can occasionally be gradual rather than sudden.",sharp | chest pain | better sitting up and worse with lying down | fever | [ | 1 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Pericarditis10.JPG/330px-Pericarditis10.JPG,data/images\Pericarditis.jpg
meningitis,Meningitis,"Meningitis is acute or chronic inflammation of the protective membranes covering the brain and spinal cord, collectively called the meninges. The most common symptoms are fever, intense headache, vomiting, neck stiffness, and occasionally photophobia. Other symptoms include confusion or altered consciousness, nausea, and an inability to tolerate loud noises. Young children often exhibit only nonspecific symptoms, such as irritability, drowsiness, or poor feeding. A non-blanching rash may also be",fever | headache | neck stiffness | [ | 1 | ],6,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Meninges-en.svg/330px-Meninges-en.svg.png,data/images\Meningitis.jpg
epidural abscess,Spinal epidural abscess,"An epidural abscess refers to a collection of pus and infectious material located in the epidural space superficial to the dura mater which surrounds the central nervous system. Due to its location adjacent to brain or spinal cord, epidural abscesses have the potential to cause weakness, pain, and paralysis.",pain | weakness | paralysis,3,,
spleen pain,Splenic abscess,Spleen pain is a pain felt from the left upper quadrant of the abdomen or epigastrium where the human spleen is located or neighboring.,pain,1,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Illu_spleen.jpg/330px-Illu_spleen.jpg,data/images\Spleen_pain.jpg
subphrenic abscess,Subphrenic abscess,"Subphrenic abscess is a disease characterized by an accumulation of infected fluid between the diaphragm, liver, and spleen. This abscess develops after surgical operations like splenectomy.
Presents with cough, increased respiratory rate with shallow respiration, diminished or absent breath sounds, hiccups, dullness in percussion, tenderness over the 8th–11th ribs, fever, chills, anorexia and shoulder tip pain on the affected side. Lack of treatment or misdiagnosis could quickly lead to sepsis,",fever | cough | pain | chills,4,,
covid-19,COVID-19,"Coronavirus disease 2019 (COVID-19) is a contagious disease caused by the coronavirus SARS-CoV-2. Starting in January 2020, the disease spread worldwide, resulting in the COVID-19 pandemic. In March 2020, the World Health Organization declared COVID-19 a global health emergency; they declared the end of the emergency in May 2023.",fever | cough | fatigue | shortness of breath | vomiting | loss of taste or smell | some cases asymptomatic | [ | 2 | ] | [ | 3 | ],13,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Fphar-11-00937-g001.jpg/330px-Fphar-11-00937-g001.jpg,data/images\COVID-19.jpg
hiv/aids,HIV/AIDS,"The human immunodeficiency virus (HIV) is a retrovirus that attacks the immune system. Without treatment, it can lead to a spectrum of conditions including acquired immunodeficiency syndrome (AIDS). It is a preventable disease. It can be managed with treatment and become a manageable chronic health condition. While there is no cure or vaccine for HIV, antiretroviral treatment can slow the course of the disease, and, if used before significant disease progression, can extend the life expectancy o",early | : flu-like illness | [ | 4 | ] | later | : | large lymph nodes | fever | weight loss | [ | 4 | ],13,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Red_Ribbon.svg/330px-Red_Ribbon.svg.png,data/images\HIV_AIDS.jpg
